ID,Source,Subject,Exam Type,Profession Group,Question,Option A,Option B,Option C,Option D,Option E,Answer Key,is_few_shot
0,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Tahap pramuwisata yang awal adalah…,Pramuwisata Muda,Pramuwisata Utama,Pramuwisata Lokal,Pramuwisata Madya,Pramuwisata Profesional,A,0
1,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,"“Well Ladies and Gentleman, welcome to Sri Aji Joyoboyo site...”. merupakan bentuk…",General information,On site/object explanation,General instruction,On spot explanation,General manager,B,0
2,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,"Di bawah ini kualifikasi sebagai pramuwisata yang disyaratkan oleh Pemerintah melalui Undang-Undang, kecuali…",Berusia 15 tahun,WNI,Menguasai budaya setempat,Menguasai bahasa asing,Menguasai Bahasa Indonesia,A,0
3,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,"Yang bukan alasan Pramuwisata diberikan pelatihan dan anggaran oleh Negara,  adalah…",Pramuwisata sebagai representasi Negara,Pramuwisata sebagai duta bangsa,Pramuwisata sebagai karyawan travel,Pramuwisata lambang negara,Agar tidak terjadi kesalahan dalam menjelaskan Indonesia,C,0
4,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,"Banyak Negara bersandar pada Pariwisata, termasuk Indonesia karena alasan di bawah ini, kecuali…",Penghasil devisa Negara terbesar ,Industri pertama dan utama diseluruh dunia,Menyerap jutaan tenaga kerja,Tidak ada dampak buruk,Solusi mengatasi pengangguran,D,0
5,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Hal yang harus segera dilakukan saat menjemput wisatawan di titik kedatangan adalah…,Berangkat tepat waktu     ,Observasi tempat  ,Bersama-sama ,Membawa HP,Menelepon dulu ,B,0
6,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Hal yang sangat dianjurkan dalam Pemanduan Wisata adalah…,Bercanda,Membahas SARA,Memberikan presentasi yang jelas dan gamblang,Memberikan game,Mengajukan kuis,C,0
7,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Skill dalam penilaian kinerja seorang Pramuwisata berarti…,Pengetahuan,Kemampuan atau kompetensi ,Wawasan,Interaksi,Sikap,B,0
8,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,"“I am not alone here, I accompany by some crew. In my left side is Mr Poniman as our driver. (Please say hallo to our guest, Mr Poniman, or just flourishing your hand….) he is a proffesional driver that have been working for a long time in tourism industry” adalah bentuk…",Closing,Giving Announcement ,On spot explanation,Opening,General information,D,0
9,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Kartu Lisensi anggota HPI untuk Pramuwisata Madya memiliki background warna…,Biru,Hijau,Merah,Kuning,Putih,D,0
10,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Fungsi dari General Information adalah…,Melengkapi informasi,Memberi jeda waktu,Mengajak beristirahat,Menyarankan untuk makan,Menambah wawasan,A,0
11,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Sikap berdiri yang salah bagi seorang Pramuwisata adalah agar tidak jatuh adalah…,"Kaki sejajar, tangan bebas",Tumit diangkat,Kaki kiri ditekuk,Tangan ditekuk,"Kaki kanan sedikit maju, tangan berpegangan pada besi",A,0
12,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Yang dilakukan pertamakali oleh seorang Pramuwisata saat persiapan Opening adalah…,Mengecek microphone,Mengabsen wisatawan,Mengecek megaphone,Mengecek kendaraan,Memperkenalkan diri,A,0
13,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Dibawah ini yang bukan General information adalah,Sejarah,Budaya,Ekonomi,Cara membuat kuliner setempat,Geografi,D,0
