id,province,topic,context,options,answer,is_province_specific,also_exist_in_other_province,final_is_province_specific
0,Aceh,Makanan,Abdulah ingin sarapan pagi dan pergi ke warung kopi.,"['A. Abdulah memesan burger dan martabak telur.', 'B. Abdulah memesan kopi dan nasi gurih.', 'C. Abdulah memesan jus dan nasi kambing.']",B,YA,TIDAK,YA
1,Aceh,Makanan,Anisa ingin membeli nasi gurih dan kopi.,"['A. Anisa membeli di warung kopi.', 'B. Anisa membeli di rumah makan.', 'C. Anisa membeli di pasar.']",A,YA,TIDAK,YA
2,Aceh,Makanan,Icut memasak menu khas aceh.,"['A. Icut memasak kuah pliek.', 'B. Icut memasak kuah lemak.', 'C. Icut memasak kuah lodeh.']",A,YA,TIDAK,YA
3,Aceh,Makanan,Hasna ingin makan siang dan pergi ke warung nasi khas Aceh.,"['A. Hasna memesan nasi dan ikan sambal.', 'B. Hasna memesan king fried chiken.', 'C. Hasna memesaan kuah beulangong dan ayam tangkap.']",C,YA,TIDAK,YA
4,Aceh,Makanan,Rais ingin makan malam khas Aceh dan pergi ke luar rumah.,"['A. Rais memesan KFC.', 'B. Rais memesan sate matang.', 'C. Rais memesan kuah beulangong.']",B,YA,TIDAK,YA
5,Aceh,Makanan,Saat malam hari siti ingin makan makanan khas Aceh.,"['A. Siti memesan mie ceker.', 'B. Siti memesan indomie.', 'C. Siti memesan mie aceh.']",C,YA,TIDAK,YA
6,Aceh,Makanan,Keluarga Nia ingin membeli makan ringan khas Aceh.,"['A. Kelurga Nia membeli kue lapis.', 'B. Kelurga Nia membeli kue risol.', 'C. Kelurga Nia membeli kue timpan.']",C,YA,TIDAK,YA
7,Aceh,Makanan,Satir ingin jajan makanan khas Aceh di kedai.,"['A. Satir membeli bakso goreng.', 'B. Satir membeli kacang rebus.', 'C. Satir membeli roti canai.']",C,YA,TIDAK,YA
8,Aceh,Makanan,Khaira ingin membeli oleh-oleh dari Meureudu.,"['A. Kahira membeli pisang coklat.', 'B. Kahira membeli kue Kak Nah.', 'C. Kahira membeli pisang sale.']",B,YA,TIDAK,YA
9,Aceh,Makanan,Budi ingin membeli oleh oleh khas Aceh untuk ayahnya.,"['A. Budi membeli Emping Melinjo.', 'B. Budi membeli kopi Gayo.', 'C. Budi Membeli Kue Bhoi.']",B,YA,TIDAK,YA
10,Aceh,Makanan,Syarifah baru saja pulang dari Sabang.,"['A. Syarifah memberi oleh-oleh kue pia AG.', 'B. Syarifah memberi oleh-oleh kuekarah.', 'C. Syarifah memberi oleh-oleh kue Bhoi.']",A,YA,TIDAK,YA
11,Aceh,Makanan,Raja igin membeli minuman khas Aceh.,"['A. Raja membeli Kopi Gayo.', 'B. Raja membeli Jus terong Belanda.', 'C. Raja membeli Kopi Sanger.']",A,YA,TIDAK,YA
12,Aceh,Makanan,Ayah dewi ingin memesan minuman khas Meulaboh.,"['A. Ayah dewi memesan minuman kopi Kurma.', 'B. Ayah dewi memesan minuman kopi Khop.', 'C. Ayah dewi memesan minuman kopi Sanger.']",B,YA,TIDAK,YA
13,Aceh,Makanan,Saat Maulid warga kampung Leli mengadakan acara makan bersama.,"['A. Warga kampung Leli makan bersama di pantai.', 'B. Warga kampung Leli makan bersama-sama di mesjid.', 'C. Warga kampung Leli makan secara berkelompok dirumah.']",B,YA,TIDAK,YA
14,Aceh,Makanan,"Putro berasal dari Aceh, Saat makan Putro disediakan mangkuk berisi air.","['A. Putro makan menggunkan sendok.', 'B. Putro makan mengunkan sumpit.', 'C. Putro makan menggunkan tangan yang sudah dicuci bersih.']",C,YA,YA,TIDAK
15,Aceh,Makanan,Nenek mengukur kelapa mengunakan alat kukur.,"['A. Nenek mengukur kelapa mengunakan mesin parutan.', 'B. Nenek mengukur kelapa mengunakan geulungku.', 'C. Nenek mengukur kelapa mengunakan parutan.']",B,YA,TIDAK,YA
16,Aceh,Makanan,"Nila baru sampai ke Aceh, Nila inggin membeli masakan khas yang di olah dari danging sapi.","['A. Nila membeli masakan sate sapi.', 'B. Nila membeli masakan Sie Ruboh.', 'C. Nila membeli masakan rendang sapi.']",B,YA,TIDAK,YA
