proverb,conversation,explanation,answer1,answer2,is_figurative,answer_key
Bagai pungguk merindukan bulan,"Orang 1: Apa kabar, kamu sudah mencapai impianmu untuk menjadi seorang penyanyi terkenal? Orang 2: Belum, sepertinya impian itu terlalu tinggi untuk saya capai. Orang 1: Ya, memang terkadang kita menginginkan sesuatu yang sulit untuk digapai. Orang 2: Betul sekali, bagai pungguk merindukan bulan.",menginginkan sesuatu yang sulit untuk digapai,Orang 2 setuju bahwa mimpi itu terlalu sulit.,Orang 2 tidak setuju bahwa mimpi itu terlalu sulit.,1.0,a
Seperti lalat mencari puru,"Orang 1: Wah, dia selalu mencari keuntungan dari setiap kesempatan yang ada ya.  Orang 2: Iya, seperti lalat mencari puru.","terlalu rakus mengejar keuntungan, sehingga tidak tahu malu lagi.",Orang 2 tidak setuju bahwa orang tersebut serakah.,Orang 2 setuju bahwa orang tersebut terlalu serakah.,1.0,b
Tali yang tiga lembar itu tak suang-suang putus,"Orang 1: Kita harus bersatu agar bisa menghadapi masalah ini dengan lebih kuat. Orang 2: Benar, tali yang tiga lembar itu tak suang-suang putus.",bila kita bersatu pasti lebih kuat.,Orang 2 setuju bahwa mereka harus bersatu.,Orang 2 tidak setuju bahwa mereka harus bersatu.,1.0,a
Gajah dialahkan oleh pelanduk,"Orang 1: Apakah kamu yakin bisa mengalahkan bos besar itu? Orang 2: Tentu saja, orang besar dapat dikalahkan oleh orang cerdik. Gajah dialahkan oleh pelanduk.",orang besar dapat dikalahkan oleh orang cerdik.,Orang 2 tidak percaya bahwa bos dapat dikalahkan.,Orang 2 percaya bahwa bos dapat dikalahkan dengan menjadi pintar.,1.0,b
Tak kayu jenjang dikeping,Orang 1: Bagaimana cara mengatasi masalah ini? Orang 2: Kita harus berusaha dengan keras dan fokus pada tujuan kita. Orang 1: Tapi bagaimana kalau ada rintangan yang sulit diatasi? Orang 2: Tak kayu jenjang dikeping.,apapun dilakukan asal maksud dan tujuan tercapai (terutama ketika menghadapi masalah yang sangat penting),Orang 2 percaya bahwa kesulitan tidak menjadi masalah selama tujuan tercapai.,Orang 2 percaya bahwa kesulitan-kesulitan tersebut terlalu berat untuk diatasi.,1.0,a
"Seperti menghela rambut ditepung, rambut tak putus, tepung tidak terserak","Orang 1: Bagaimana cara menyelesaikan perselisihan dengan baik? Orang 2:  Seperti menghela rambut ditepung, rambut tak putus, tepung tidak terserak.",hati-hati sekali dalam menyelesaikan perselisihan agar tidak ada pihak yang merasa dirugikan.,Orang 2 percaya dalam menyelesaikan perselisihan sehingga salah satu pihak menang.,Orang 2 percaya dalam menyelesaikan perselisihan tidak ada pihak yang dirugikan.,1.0,b
Seperti unta menyerahkan diri,Orang 1: Apa arti kesetiaan bagimu? Orang 2: Kesetiaan padaku seperti unta menyerahkan diri.,"penyerahan mutlak tanpa syarat, tunduk pada perintah.",Orang 2 percaya bahwa kesetiaan berarti penyerahan diri dan ketaatan.,Orang 2 percaya bahwa kesetiaan berarti penghormatan total terhadap pemimpin.,1.0,a
Tong kosong nyaring bunyinya,Orang 1: Apa pendapatmu tentang orang yang suka berbicara banyak? Orang 2: Tong kosong nyaring bunyinya.,Orang yang banyak bicara biasanya tidak berilmu.,Orang 2 percaya bahwa orang yang banyak bicara kemungkinan besar pintar.,Orang 2 percaya bahwa orang yang banyak bicara mungkin tidak pintar.,1.0,b
"Hujan tak sekali jatuh, simpai tak sekali erat","Orang 1: Kenapa kamu terlihat begitu lelah? Apa kamu sudah menyelesaikan semua pekerjaanmu?  Orang 2: Belum, masih banyak yang harus diselesaikan. Tapi, saya telah belajar bahwa hujan tidak turun sekali, lingkaran tidak menggantung sekali.","kerja itu harus berangsur-angsur, takkan selalu dapat selesai sekaligus semuanya.",Orang 2 percaya bahwa pekerjaan harus dilakukan secara bertahap.,Orang 2 percaya bahwa pekerjaan harus dilakukan dengan cepat dan sekaligus.,1.0,a
Tidak terindang dedak basah,"Orang 1: Sudah mencoba mencari solusi untuk masalah ini? Orang 2: Sudah, tapi sepertinya tidak ada jalan keluarnya.  Orang 1: Mungkin kita harus mencari bantuan dari orang lain? Orang 2: Tapi siapa yang bisa membantu? Tidak terindang dedak basah.",perkara yang sangat sulit mencari penyelesaiannya.,Orang 2 percaya bahwa masalah mungkin dapat diselesaikan dengan bantuan.,Orang 2 percaya bahwa masalahnya terlalu sulit dan tidak dapat ditolong.,1.0,b
