input,answers,number_options,preds,probs
"Gw telat masuk kantor

Apa akibat yang paling mungkin timbul dari kejadian di atas?

A. Gue langsung nyetop angkot
B. Gue langsung pesen Gojek

Jawaban: B

klompok suporter itu dukung persija

Apa akibat yang paling mungkin timbul dari kejadian di atas?

A. suporternya pake baju biru
B. suporternya pake baju oren

Jawaban: B

Kakak maju menjadi calon ketua OSIS.

Apa penyebab yang mengakibatkan kejadian di atas?

A. Dia ingin eksis.
B. Dia ingin pintar.

Jawaban: A

Pria itu memangku tasnya saat menaiki angkutan umum.

Apa penyebab yang mengakibatkan kejadian di atas?

A. Pria itu berjaga-jaga agar tasnya tidak dicuri.
B. Tasnya empuk.

Jawaban: ",0,2,A,[0.999    0.001134]
"Gw telat masuk kantor

Apa akibat yang paling mungkin timbul dari kejadian di atas?

A. Gue langsung nyetop angkot
B. Gue langsung pesen Gojek

Jawaban: B

klompok suporter itu dukung persija

Apa akibat yang paling mungkin timbul dari kejadian di atas?

A. suporternya pake baju biru
B. suporternya pake baju oren

Jawaban: B

Kakak maju menjadi calon ketua OSIS.

Apa penyebab yang mengakibatkan kejadian di atas?

A. Dia ingin eksis.
B. Dia ingin pintar.

Jawaban: A

Kulitnya bentol-bentol.

Apa penyebab yang mengakibatkan kejadian di atas?

A. Ia digigit nyamuk.
B. Ia dipatuk ayam .

Jawaban: ",0,2,A,[0.996    0.003483]
"Gw telat masuk kantor

Apa akibat yang paling mungkin timbul dari kejadian di atas?

A. Gue langsung nyetop angkot
B. Gue langsung pesen Gojek

Jawaban: B

klompok suporter itu dukung persija

Apa akibat yang paling mungkin timbul dari kejadian di atas?

A. suporternya pake baju biru
B. suporternya pake baju oren

Jawaban: B

Kakak maju menjadi calon ketua OSIS.

Apa penyebab yang mengakibatkan kejadian di atas?

A. Dia ingin eksis.
B. Dia ingin pintar.

Jawaban: A

Bapak saya masuk angin.

Apa penyebab yang mengakibatkan kejadian di atas?

A. Bapak pulang dari salon.
B. Bapak pulang ronda.

Jawaban: ",1,2,B,[2.27e-04 1.00e+00]
"Gw telat masuk kantor

Apa akibat yang paling mungkin timbul dari kejadian di atas?

A. Gue langsung nyetop angkot
B. Gue langsung pesen Gojek

Jawaban: B

klompok suporter itu dukung persija

Apa akibat yang paling mungkin timbul dari kejadian di atas?

A. suporternya pake baju biru
B. suporternya pake baju oren

Jawaban: B

Kakak maju menjadi calon ketua OSIS.

Apa penyebab yang mengakibatkan kejadian di atas?

A. Dia ingin eksis.
B. Dia ingin pintar.

Jawaban: A

Jari bocah itu sakit.

Apa penyebab yang mengakibatkan kejadian di atas?

A. Ia terlalu banyak main enggrang.
B. Ia terlalu banyak main kelereng.

Jawaban: ",1,2,A,[0.81   0.1895]
"Gw telat masuk kantor

Apa akibat yang paling mungkin timbul dari kejadian di atas?

A. Gue langsung nyetop angkot
B. Gue langsung pesen Gojek

Jawaban: B

klompok suporter itu dukung persija

Apa akibat yang paling mungkin timbul dari kejadian di atas?

A. suporternya pake baju biru
B. suporternya pake baju oren

Jawaban: B

Kakak maju menjadi calon ketua OSIS.

Apa penyebab yang mengakibatkan kejadian di atas?

A. Dia ingin eksis.
B. Dia ingin pintar.

Jawaban: A

Dia sedih.

Apa penyebab yang mengakibatkan kejadian di atas?

A. Nilai rapornya banyak yang merah.
B. Nilai rapornya banyak yang hijau.

Jawaban: ",0,2,A,[0.999    0.001188]
"Gw telat masuk kantor

Apa akibat yang paling mungkin timbul dari kejadian di atas?

A. Gue langsung nyetop angkot
B. Gue langsung pesen Gojek

Jawaban: B

klompok suporter itu dukung persija

Apa akibat yang paling mungkin timbul dari kejadian di atas?

A. suporternya pake baju biru
B. suporternya pake baju oren

Jawaban: B

Kakak maju menjadi calon ketua OSIS.

Apa penyebab yang mengakibatkan kejadian di atas?

A. Dia ingin eksis.
B. Dia ingin pintar.

Jawaban: A

Ibu itu begitu bahagia.

Apa penyebab yang mengakibatkan kejadian di atas?

A. Namanya terpilih di undian arisan.
B. Namanya tidak terpilih di undian arisan.

Jawaban: ",0,2,A,[0.997   0.00263]
"Gw telat masuk kantor

Apa akibat yang paling mungkin timbul dari kejadian di atas?

A. Gue langsung nyetop angkot
B. Gue langsung pesen Gojek

Jawaban: B

klompok suporter itu dukung persija

Apa akibat yang paling mungkin timbul dari kejadian di atas?

A. suporternya pake baju biru
B. suporternya pake baju oren

Jawaban: B

Kakak maju menjadi calon ketua OSIS.

Apa penyebab yang mengakibatkan kejadian di atas?

A. Dia ingin eksis.
B. Dia ingin pintar.

Jawaban: A

Orang itu makan nasi porsi kuli.

Apa penyebab yang mengakibatkan kejadian di atas?

A. Orang itu bosan makan nasi.
B. Orang itu belum makan dari kemarin.

Jawaban: ",1,2,B,[3.684e-04 1.000e+00]
"Gw telat masuk kantor

Apa akibat yang paling mungkin timbul dari kejadian di atas?

A. Gue langsung nyetop angkot
B. Gue langsung pesen Gojek

Jawaban: B

klompok suporter itu dukung persija

Apa akibat yang paling mungkin timbul dari kejadian di atas?

A. suporternya pake baju biru
B. suporternya pake baju oren

Jawaban: B

Kakak maju menjadi calon ketua OSIS.

Apa penyebab yang mengakibatkan kejadian di atas?

A. Dia ingin eksis.
B. Dia ingin pintar.

Jawaban: A

Ia merasa geli.

Apa penyebab yang mengakibatkan kejadian di atas?

A. Temannya menggosokkan kemoceng di kakinya.
B. Temannya menggosokkan kentongan di kakinya.

Jawaban: ",0,2,A,[0.998    0.002436]
"Gw telat masuk kantor

Apa akibat yang paling mungkin timbul dari kejadian di atas?

A. Gue langsung nyetop angkot
B. Gue langsung pesen Gojek

Jawaban: B

klompok suporter itu dukung persija

Apa akibat yang paling mungkin timbul dari kejadian di atas?

A. suporternya pake baju biru
B. suporternya pake baju oren

Jawaban: B

Kakak maju menjadi calon ketua OSIS.

Apa penyebab yang mengakibatkan kejadian di atas?

A. Dia ingin eksis.
B. Dia ingin pintar.

Jawaban: A

Ia tidak naik kelas.

Apa penyebab yang mengakibatkan kejadian di atas?

A. Ia jarang belajar.
B. Ia takut ketinggian.

Jawaban: ",0,2,A,[0.999     0.0011425]
"Gw telat masuk kantor

Apa akibat yang paling mungkin timbul dari kejadian di atas?

A. Gue langsung nyetop angkot
B. Gue langsung pesen Gojek

Jawaban: B

klompok suporter itu dukung persija

Apa akibat yang paling mungkin timbul dari kejadian di atas?

A. suporternya pake baju biru
B. suporternya pake baju oren

Jawaban: B

Kakak maju menjadi calon ketua OSIS.

Apa penyebab yang mengakibatkan kejadian di atas?

A. Dia ingin eksis.
B. Dia ingin pintar.

Jawaban: A

Pria itu baru saja selesai solat berjamaah. Ia terkejut.

Apa penyebab yang mengakibatkan kejadian di atas?

A. Bajunya hilang dicuri.
B. Sandalnya hilang dicuri.

Jawaban: ",1,2,B,[0.002934 0.997   ]
