input,answers,number_options,preds,probs
"Untuk konteks propinsi Sulawesi Selatan, sambungan yang tepat dari kalimat ""Pengelola puskesmas Pulau Sembilan Sinjai membuatkan ramuan untuk peserta senam agar bisa membantu mencegah penyakit jantung, diabates, mengatasi masalah pencernaan, hingga batuk pilek."" adalah
A. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun lidah buaya.
B. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun singkong.
C. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun Sambiloto.
Jawaban: C

Untuk konteks propinsi Kalimantan Selatan, sambungan yang tepat dari kalimat ""Masjid An-nuriyah bersih dan terjaga."" adalah
A. Masjid tersebut dirawat oleh masyarakat.
B. Masjid tersebut dirawat oleh kaum masjid.
C. Masjid tersebut dirawat oleh ketua RT.
Jawaban: B

Untuk konteks propinsi Aceh, sambungan yang tepat dari kalimat ""Ali mendapat kabar istrinya hamil."" adalah
A. Ali mengumunkan di kampungnya.
B. Ali membuat acara pesta.
C. Ali membuat acar pesijuk.
Jawaban: C

Untuk konteks propinsi Aceh, sambungan yang tepat dari kalimat ""Abdulah ingin sarapan pagi dan pergi ke warung kopi."" adalah
A. Abdulah memesan burger dan martabak telur.
B. Abdulah memesan kopi dan nasi gurih.
C. Abdulah memesan jus dan nasi kambing.
Jawaban: ",1,3,B,[0.01643 0.9707  0.0128 ]
"Untuk konteks propinsi Sulawesi Selatan, sambungan yang tepat dari kalimat ""Pengelola puskesmas Pulau Sembilan Sinjai membuatkan ramuan untuk peserta senam agar bisa membantu mencegah penyakit jantung, diabates, mengatasi masalah pencernaan, hingga batuk pilek."" adalah
A. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun lidah buaya.
B. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun singkong.
C. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun Sambiloto.
Jawaban: C

Untuk konteks propinsi Kalimantan Selatan, sambungan yang tepat dari kalimat ""Masjid An-nuriyah bersih dan terjaga."" adalah
A. Masjid tersebut dirawat oleh masyarakat.
B. Masjid tersebut dirawat oleh kaum masjid.
C. Masjid tersebut dirawat oleh ketua RT.
Jawaban: B

Untuk konteks propinsi Aceh, sambungan yang tepat dari kalimat ""Ali mendapat kabar istrinya hamil."" adalah
A. Ali mengumunkan di kampungnya.
B. Ali membuat acara pesta.
C. Ali membuat acar pesijuk.
Jawaban: C

Untuk konteks propinsi Aceh, sambungan yang tepat dari kalimat ""Anisa ingin membeli nasi gurih dan kopi."" adalah
A. Anisa membeli di warung kopi.
B. Anisa membeli di rumah makan.
C. Anisa membeli di pasar.
Jawaban: ",0,3,B,[0.4314  0.5283  0.04013]
"Untuk konteks propinsi Sulawesi Selatan, sambungan yang tepat dari kalimat ""Pengelola puskesmas Pulau Sembilan Sinjai membuatkan ramuan untuk peserta senam agar bisa membantu mencegah penyakit jantung, diabates, mengatasi masalah pencernaan, hingga batuk pilek."" adalah
A. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun lidah buaya.
B. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun singkong.
C. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun Sambiloto.
Jawaban: C

Untuk konteks propinsi Kalimantan Selatan, sambungan yang tepat dari kalimat ""Masjid An-nuriyah bersih dan terjaga."" adalah
A. Masjid tersebut dirawat oleh masyarakat.
B. Masjid tersebut dirawat oleh kaum masjid.
C. Masjid tersebut dirawat oleh ketua RT.
Jawaban: B

Untuk konteks propinsi Aceh, sambungan yang tepat dari kalimat ""Ali mendapat kabar istrinya hamil."" adalah
A. Ali mengumunkan di kampungnya.
B. Ali membuat acara pesta.
C. Ali membuat acar pesijuk.
Jawaban: C

Untuk konteks propinsi Aceh, sambungan yang tepat dari kalimat ""Icut memasak menu khas aceh."" adalah
A. Icut memasak kuah pliek.
B. Icut memasak kuah lemak.
C. Icut memasak kuah lodeh.
Jawaban: ",0,3,A,[0.995    0.002144 0.002544]
"Untuk konteks propinsi Sulawesi Selatan, sambungan yang tepat dari kalimat ""Pengelola puskesmas Pulau Sembilan Sinjai membuatkan ramuan untuk peserta senam agar bisa membantu mencegah penyakit jantung, diabates, mengatasi masalah pencernaan, hingga batuk pilek."" adalah
A. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun lidah buaya.
B. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun singkong.
C. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun Sambiloto.
Jawaban: C

Untuk konteks propinsi Kalimantan Selatan, sambungan yang tepat dari kalimat ""Masjid An-nuriyah bersih dan terjaga."" adalah
A. Masjid tersebut dirawat oleh masyarakat.
B. Masjid tersebut dirawat oleh kaum masjid.
C. Masjid tersebut dirawat oleh ketua RT.
Jawaban: B

Untuk konteks propinsi Aceh, sambungan yang tepat dari kalimat ""Ali mendapat kabar istrinya hamil."" adalah
A. Ali mengumunkan di kampungnya.
B. Ali membuat acara pesta.
C. Ali membuat acar pesijuk.
Jawaban: C

Untuk konteks propinsi Aceh, sambungan yang tepat dari kalimat ""Hasna ingin makan siang dan pergi ke warung nasi khas Aceh."" adalah
A. Hasna memesan nasi dan ikan sambal.
B. Hasna memesan king fried chiken.
C. Hasna memesaan kuah beulangong dan ayam tangkap.
Jawaban: ",2,3,C,[0.1555   0.003956 0.841   ]
"Untuk konteks propinsi Sulawesi Selatan, sambungan yang tepat dari kalimat ""Pengelola puskesmas Pulau Sembilan Sinjai membuatkan ramuan untuk peserta senam agar bisa membantu mencegah penyakit jantung, diabates, mengatasi masalah pencernaan, hingga batuk pilek."" adalah
A. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun lidah buaya.
B. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun singkong.
C. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun Sambiloto.
Jawaban: C

Untuk konteks propinsi Kalimantan Selatan, sambungan yang tepat dari kalimat ""Masjid An-nuriyah bersih dan terjaga."" adalah
A. Masjid tersebut dirawat oleh masyarakat.
B. Masjid tersebut dirawat oleh kaum masjid.
C. Masjid tersebut dirawat oleh ketua RT.
Jawaban: B

Untuk konteks propinsi Aceh, sambungan yang tepat dari kalimat ""Ali mendapat kabar istrinya hamil."" adalah
A. Ali mengumunkan di kampungnya.
B. Ali membuat acara pesta.
C. Ali membuat acar pesijuk.
Jawaban: C

Untuk konteks propinsi Aceh, sambungan yang tepat dari kalimat ""Rais ingin makan malam khas Aceh dan pergi ke luar rumah."" adalah
A. Rais memesan KFC.
B. Rais memesan sate matang.
C. Rais memesan kuah beulangong.
Jawaban: ",1,3,C,[6.6090e-04 1.1115e-01 8.8818e-01]
"Untuk konteks propinsi Sulawesi Selatan, sambungan yang tepat dari kalimat ""Pengelola puskesmas Pulau Sembilan Sinjai membuatkan ramuan untuk peserta senam agar bisa membantu mencegah penyakit jantung, diabates, mengatasi masalah pencernaan, hingga batuk pilek."" adalah
A. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun lidah buaya.
B. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun singkong.
C. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun Sambiloto.
Jawaban: C

Untuk konteks propinsi Kalimantan Selatan, sambungan yang tepat dari kalimat ""Masjid An-nuriyah bersih dan terjaga."" adalah
A. Masjid tersebut dirawat oleh masyarakat.
B. Masjid tersebut dirawat oleh kaum masjid.
C. Masjid tersebut dirawat oleh ketua RT.
Jawaban: B

Untuk konteks propinsi Aceh, sambungan yang tepat dari kalimat ""Ali mendapat kabar istrinya hamil."" adalah
A. Ali mengumunkan di kampungnya.
B. Ali membuat acara pesta.
C. Ali membuat acar pesijuk.
Jawaban: C

Untuk konteks propinsi Aceh, sambungan yang tepat dari kalimat ""Saat malam hari siti ingin makan makanan khas Aceh."" adalah
A. Siti memesan mie ceker.
B. Siti memesan indomie.
C. Siti memesan mie aceh.
Jawaban: ",2,3,C,[4.508e-04 4.439e-04 9.990e-01]
"Untuk konteks propinsi Sulawesi Selatan, sambungan yang tepat dari kalimat ""Pengelola puskesmas Pulau Sembilan Sinjai membuatkan ramuan untuk peserta senam agar bisa membantu mencegah penyakit jantung, diabates, mengatasi masalah pencernaan, hingga batuk pilek."" adalah
A. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun lidah buaya.
B. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun singkong.
C. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun Sambiloto.
Jawaban: C

Untuk konteks propinsi Kalimantan Selatan, sambungan yang tepat dari kalimat ""Masjid An-nuriyah bersih dan terjaga."" adalah
A. Masjid tersebut dirawat oleh masyarakat.
B. Masjid tersebut dirawat oleh kaum masjid.
C. Masjid tersebut dirawat oleh ketua RT.
Jawaban: B

Untuk konteks propinsi Aceh, sambungan yang tepat dari kalimat ""Ali mendapat kabar istrinya hamil."" adalah
A. Ali mengumunkan di kampungnya.
B. Ali membuat acara pesta.
C. Ali membuat acar pesijuk.
Jawaban: C

Untuk konteks propinsi Aceh, sambungan yang tepat dari kalimat ""Keluarga Nia ingin membeli makan ringan khas Aceh."" adalah
A. Kelurga Nia membeli kue lapis.
B. Kelurga Nia membeli kue risol.
C. Kelurga Nia membeli kue timpan.
Jawaban: ",2,3,C,[4.303e-04 5.612e-04 9.990e-01]
"Untuk konteks propinsi Sulawesi Selatan, sambungan yang tepat dari kalimat ""Pengelola puskesmas Pulau Sembilan Sinjai membuatkan ramuan untuk peserta senam agar bisa membantu mencegah penyakit jantung, diabates, mengatasi masalah pencernaan, hingga batuk pilek."" adalah
A. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun lidah buaya.
B. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun singkong.
C. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun Sambiloto.
Jawaban: C

Untuk konteks propinsi Kalimantan Selatan, sambungan yang tepat dari kalimat ""Masjid An-nuriyah bersih dan terjaga."" adalah
A. Masjid tersebut dirawat oleh masyarakat.
B. Masjid tersebut dirawat oleh kaum masjid.
C. Masjid tersebut dirawat oleh ketua RT.
Jawaban: B

Untuk konteks propinsi Aceh, sambungan yang tepat dari kalimat ""Ali mendapat kabar istrinya hamil."" adalah
A. Ali mengumunkan di kampungnya.
B. Ali membuat acara pesta.
C. Ali membuat acar pesijuk.
Jawaban: C

Untuk konteks propinsi Aceh, sambungan yang tepat dari kalimat ""Satir ingin jajan makanan khas Aceh di kedai."" adalah
A. Satir membeli bakso goreng.
B. Satir membeli kacang rebus.
C. Satir membeli roti canai.
Jawaban: ",2,3,C,[5.355e-04 6.771e-04 9.990e-01]
"Untuk konteks propinsi Sulawesi Selatan, sambungan yang tepat dari kalimat ""Pengelola puskesmas Pulau Sembilan Sinjai membuatkan ramuan untuk peserta senam agar bisa membantu mencegah penyakit jantung, diabates, mengatasi masalah pencernaan, hingga batuk pilek."" adalah
A. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun lidah buaya.
B. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun singkong.
C. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun Sambiloto.
Jawaban: C

Untuk konteks propinsi Kalimantan Selatan, sambungan yang tepat dari kalimat ""Masjid An-nuriyah bersih dan terjaga."" adalah
A. Masjid tersebut dirawat oleh masyarakat.
B. Masjid tersebut dirawat oleh kaum masjid.
C. Masjid tersebut dirawat oleh ketua RT.
Jawaban: B

Untuk konteks propinsi Aceh, sambungan yang tepat dari kalimat ""Ali mendapat kabar istrinya hamil."" adalah
A. Ali mengumunkan di kampungnya.
B. Ali membuat acara pesta.
C. Ali membuat acar pesijuk.
Jawaban: C

Untuk konteks propinsi Aceh, sambungan yang tepat dari kalimat ""Khaira ingin membeli oleh-oleh dari Meureudu."" adalah
A. Kahira membeli pisang coklat.
B. Kahira membeli kue Kak Nah.
C. Kahira membeli pisang sale.
Jawaban: ",1,3,B,[0.0707 0.565  0.3645]
"Untuk konteks propinsi Sulawesi Selatan, sambungan yang tepat dari kalimat ""Pengelola puskesmas Pulau Sembilan Sinjai membuatkan ramuan untuk peserta senam agar bisa membantu mencegah penyakit jantung, diabates, mengatasi masalah pencernaan, hingga batuk pilek."" adalah
A. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun lidah buaya.
B. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun singkong.
C. Pengelola puskesmas Pulau Sembilan Sinjai membuat ramuan daun Sambiloto.
Jawaban: C

Untuk konteks propinsi Kalimantan Selatan, sambungan yang tepat dari kalimat ""Masjid An-nuriyah bersih dan terjaga."" adalah
A. Masjid tersebut dirawat oleh masyarakat.
B. Masjid tersebut dirawat oleh kaum masjid.
C. Masjid tersebut dirawat oleh ketua RT.
Jawaban: B

Untuk konteks propinsi Aceh, sambungan yang tepat dari kalimat ""Ali mendapat kabar istrinya hamil."" adalah
A. Ali mengumunkan di kampungnya.
B. Ali membuat acara pesta.
C. Ali membuat acar pesijuk.
Jawaban: C

Untuk konteks propinsi Aceh, sambungan yang tepat dari kalimat ""Budi ingin membeli oleh oleh khas Aceh untuk ayahnya."" adalah
A. Budi membeli Emping Melinjo.
B. Budi membeli kopi Gayo.
C. Budi Membeli Kue Bhoi.
Jawaban: ",1,3,C,[0.001317 0.3481   0.6504  ]
