input,answers,number_options,preds,probs
"Perhatikan percakapan berikut!

Orang 1: Kenapa sih dia semakin sombong setelah jadi bos?  Orang 2: Karena sudah besar maka hendak melanda.

Apakah arti dari Sudah besar maka hendak melanda?

A. Karena sudah berkuasa, mereka sekarang jadi sombong
B. Karena sudah berkuasa, mereka sekarang jadi sewenang-wenang

Jawaban: B

Perhatikan percakapan berikut!

Orang 1: Apakah menurutmu kamu selalu bisa memahami seseorang hanya dengan melihatnya? Orang 2: Dalam laut bisa diduga, dalam hati siapa tahu

Apakah arti dari Dalam laut bisa diduga, dalam hati siapa tahu?

A. Orang 2 berpikir tidak.
B. Orang 2 berpikir ya.

Jawaban: A

Perhatikan percakapan berikut!

Orang 1: Sudahkah kamu makan siang? Orang 2: Sudah, tapi aku masih lapar. Ayo beli makanan lagi. Orang 1: Kamu sangat rakus dan tamak, diberi sehasta hendak sedepa.

Apakah arti dari Diberi sehasta hendak sedepa?

A. Orang 2 seharusnya tidak serakah.
B. Orang 2 harus serakah.

Jawaban: A

Perhatikan percakapan berikut!

Orang 1: Apa kabar, kamu sudah mencapai impianmu untuk menjadi seorang penyanyi terkenal? Orang 2: Belum, sepertinya impian itu terlalu tinggi untuk saya capai. Orang 1: Ya, memang terkadang kita menginginkan sesuatu yang sulit untuk digapai. Orang 2: Betul sekali, bagai pungguk merindukan bulan.

Apakah arti dari Bagai pungguk merindukan bulan?

A. Orang 2 setuju bahwa mimpi itu terlalu sulit.
B. Orang 2 tidak setuju bahwa mimpi itu terlalu sulit.

Jawaban: ",0,2,A,[0.9697  0.03021]
"Perhatikan percakapan berikut!

Orang 1: Kenapa sih dia semakin sombong setelah jadi bos?  Orang 2: Karena sudah besar maka hendak melanda.

Apakah arti dari Sudah besar maka hendak melanda?

A. Karena sudah berkuasa, mereka sekarang jadi sombong
B. Karena sudah berkuasa, mereka sekarang jadi sewenang-wenang

Jawaban: B

Perhatikan percakapan berikut!

Orang 1: Apakah menurutmu kamu selalu bisa memahami seseorang hanya dengan melihatnya? Orang 2: Dalam laut bisa diduga, dalam hati siapa tahu

Apakah arti dari Dalam laut bisa diduga, dalam hati siapa tahu?

A. Orang 2 berpikir tidak.
B. Orang 2 berpikir ya.

Jawaban: A

Perhatikan percakapan berikut!

Orang 1: Sudahkah kamu makan siang? Orang 2: Sudah, tapi aku masih lapar. Ayo beli makanan lagi. Orang 1: Kamu sangat rakus dan tamak, diberi sehasta hendak sedepa.

Apakah arti dari Diberi sehasta hendak sedepa?

A. Orang 2 seharusnya tidak serakah.
B. Orang 2 harus serakah.

Jawaban: A

Perhatikan percakapan berikut!

Orang 1: Wah, dia selalu mencari keuntungan dari setiap kesempatan yang ada ya.  Orang 2: Iya, seperti lalat mencari puru.

Apakah arti dari Seperti lalat mencari puru?

A. Orang 2 tidak setuju bahwa orang tersebut serakah.
B. Orang 2 setuju bahwa orang tersebut terlalu serakah.

Jawaban: ",1,2,B,[0.01773 0.983  ]
"Perhatikan percakapan berikut!

Orang 1: Kenapa sih dia semakin sombong setelah jadi bos?  Orang 2: Karena sudah besar maka hendak melanda.

Apakah arti dari Sudah besar maka hendak melanda?

A. Karena sudah berkuasa, mereka sekarang jadi sombong
B. Karena sudah berkuasa, mereka sekarang jadi sewenang-wenang

Jawaban: B

Perhatikan percakapan berikut!

Orang 1: Apakah menurutmu kamu selalu bisa memahami seseorang hanya dengan melihatnya? Orang 2: Dalam laut bisa diduga, dalam hati siapa tahu

Apakah arti dari Dalam laut bisa diduga, dalam hati siapa tahu?

A. Orang 2 berpikir tidak.
B. Orang 2 berpikir ya.

Jawaban: A

Perhatikan percakapan berikut!

Orang 1: Sudahkah kamu makan siang? Orang 2: Sudah, tapi aku masih lapar. Ayo beli makanan lagi. Orang 1: Kamu sangat rakus dan tamak, diberi sehasta hendak sedepa.

Apakah arti dari Diberi sehasta hendak sedepa?

A. Orang 2 seharusnya tidak serakah.
B. Orang 2 harus serakah.

Jawaban: A

Perhatikan percakapan berikut!

Orang 1: Kita harus bersatu agar bisa menghadapi masalah ini dengan lebih kuat. Orang 2: Benar, tali yang tiga lembar itu tak suang-suang putus.

Apakah arti dari Tali yang tiga lembar itu tak suang-suang putus?

A. Orang 2 setuju bahwa mereka harus bersatu.
B. Orang 2 tidak setuju bahwa mereka harus bersatu.

Jawaban: ",0,2,A,[0.8394 0.161 ]
"Perhatikan percakapan berikut!

Orang 1: Kenapa sih dia semakin sombong setelah jadi bos?  Orang 2: Karena sudah besar maka hendak melanda.

Apakah arti dari Sudah besar maka hendak melanda?

A. Karena sudah berkuasa, mereka sekarang jadi sombong
B. Karena sudah berkuasa, mereka sekarang jadi sewenang-wenang

Jawaban: B

Perhatikan percakapan berikut!

Orang 1: Apakah menurutmu kamu selalu bisa memahami seseorang hanya dengan melihatnya? Orang 2: Dalam laut bisa diduga, dalam hati siapa tahu

Apakah arti dari Dalam laut bisa diduga, dalam hati siapa tahu?

A. Orang 2 berpikir tidak.
B. Orang 2 berpikir ya.

Jawaban: A

Perhatikan percakapan berikut!

Orang 1: Sudahkah kamu makan siang? Orang 2: Sudah, tapi aku masih lapar. Ayo beli makanan lagi. Orang 1: Kamu sangat rakus dan tamak, diberi sehasta hendak sedepa.

Apakah arti dari Diberi sehasta hendak sedepa?

A. Orang 2 seharusnya tidak serakah.
B. Orang 2 harus serakah.

Jawaban: A

Perhatikan percakapan berikut!

Orang 1: Apakah kamu yakin bisa mengalahkan bos besar itu? Orang 2: Tentu saja, orang besar dapat dikalahkan oleh orang cerdik. Gajah dialahkan oleh pelanduk.

Apakah arti dari Gajah dialahkan oleh pelanduk?

A. Orang 2 tidak percaya bahwa bos dapat dikalahkan.
B. Orang 2 percaya bahwa bos dapat dikalahkan dengan menjadi pintar.

Jawaban: ",1,2,B,[0.00685 0.993  ]
"Perhatikan percakapan berikut!

Orang 1: Kenapa sih dia semakin sombong setelah jadi bos?  Orang 2: Karena sudah besar maka hendak melanda.

Apakah arti dari Sudah besar maka hendak melanda?

A. Karena sudah berkuasa, mereka sekarang jadi sombong
B. Karena sudah berkuasa, mereka sekarang jadi sewenang-wenang

Jawaban: B

Perhatikan percakapan berikut!

Orang 1: Apakah menurutmu kamu selalu bisa memahami seseorang hanya dengan melihatnya? Orang 2: Dalam laut bisa diduga, dalam hati siapa tahu

Apakah arti dari Dalam laut bisa diduga, dalam hati siapa tahu?

A. Orang 2 berpikir tidak.
B. Orang 2 berpikir ya.

Jawaban: A

Perhatikan percakapan berikut!

Orang 1: Sudahkah kamu makan siang? Orang 2: Sudah, tapi aku masih lapar. Ayo beli makanan lagi. Orang 1: Kamu sangat rakus dan tamak, diberi sehasta hendak sedepa.

Apakah arti dari Diberi sehasta hendak sedepa?

A. Orang 2 seharusnya tidak serakah.
B. Orang 2 harus serakah.

Jawaban: A

Perhatikan percakapan berikut!

Orang 1: Bagaimana cara mengatasi masalah ini? Orang 2: Kita harus berusaha dengan keras dan fokus pada tujuan kita. Orang 1: Tapi bagaimana kalau ada rintangan yang sulit diatasi? Orang 2: Tak kayu jenjang dikeping.

Apakah arti dari Tak kayu jenjang dikeping?

A. Orang 2 percaya bahwa kesulitan tidak menjadi masalah selama tujuan tercapai.
B. Orang 2 percaya bahwa kesulitan-kesulitan tersebut terlalu berat untuk diatasi.

Jawaban: ",0,2,A,[0.9688  0.03113]
"Perhatikan percakapan berikut!

Orang 1: Kenapa sih dia semakin sombong setelah jadi bos?  Orang 2: Karena sudah besar maka hendak melanda.

Apakah arti dari Sudah besar maka hendak melanda?

A. Karena sudah berkuasa, mereka sekarang jadi sombong
B. Karena sudah berkuasa, mereka sekarang jadi sewenang-wenang

Jawaban: B

Perhatikan percakapan berikut!

Orang 1: Apakah menurutmu kamu selalu bisa memahami seseorang hanya dengan melihatnya? Orang 2: Dalam laut bisa diduga, dalam hati siapa tahu

Apakah arti dari Dalam laut bisa diduga, dalam hati siapa tahu?

A. Orang 2 berpikir tidak.
B. Orang 2 berpikir ya.

Jawaban: A

Perhatikan percakapan berikut!

Orang 1: Sudahkah kamu makan siang? Orang 2: Sudah, tapi aku masih lapar. Ayo beli makanan lagi. Orang 1: Kamu sangat rakus dan tamak, diberi sehasta hendak sedepa.

Apakah arti dari Diberi sehasta hendak sedepa?

A. Orang 2 seharusnya tidak serakah.
B. Orang 2 harus serakah.

Jawaban: A

Perhatikan percakapan berikut!

Orang 1: Bagaimana cara menyelesaikan perselisihan dengan baik? Orang 2:  Seperti menghela rambut ditepung, rambut tak putus, tepung tidak terserak.

Apakah arti dari Seperti menghela rambut ditepung, rambut tak putus, tepung tidak terserak?

A. Orang 2 percaya dalam menyelesaikan perselisihan sehingga salah satu pihak menang.
B. Orang 2 percaya dalam menyelesaikan perselisihan tidak ada pihak yang dirugikan.

Jawaban: ",1,2,B,[0.1065 0.8936]
"Perhatikan percakapan berikut!

Orang 1: Kenapa sih dia semakin sombong setelah jadi bos?  Orang 2: Karena sudah besar maka hendak melanda.

Apakah arti dari Sudah besar maka hendak melanda?

A. Karena sudah berkuasa, mereka sekarang jadi sombong
B. Karena sudah berkuasa, mereka sekarang jadi sewenang-wenang

Jawaban: B

Perhatikan percakapan berikut!

Orang 1: Apakah menurutmu kamu selalu bisa memahami seseorang hanya dengan melihatnya? Orang 2: Dalam laut bisa diduga, dalam hati siapa tahu

Apakah arti dari Dalam laut bisa diduga, dalam hati siapa tahu?

A. Orang 2 berpikir tidak.
B. Orang 2 berpikir ya.

Jawaban: A

Perhatikan percakapan berikut!

Orang 1: Sudahkah kamu makan siang? Orang 2: Sudah, tapi aku masih lapar. Ayo beli makanan lagi. Orang 1: Kamu sangat rakus dan tamak, diberi sehasta hendak sedepa.

Apakah arti dari Diberi sehasta hendak sedepa?

A. Orang 2 seharusnya tidak serakah.
B. Orang 2 harus serakah.

Jawaban: A

Perhatikan percakapan berikut!

Orang 1: Apa arti kesetiaan bagimu? Orang 2: Kesetiaan padaku seperti unta menyerahkan diri.

Apakah arti dari Seperti unta menyerahkan diri?

A. Orang 2 percaya bahwa kesetiaan berarti penyerahan diri dan ketaatan.
B. Orang 2 percaya bahwa kesetiaan berarti penghormatan total terhadap pemimpin.

Jawaban: ",0,2,A,[0.9014  0.09845]
"Perhatikan percakapan berikut!

Orang 1: Kenapa sih dia semakin sombong setelah jadi bos?  Orang 2: Karena sudah besar maka hendak melanda.

Apakah arti dari Sudah besar maka hendak melanda?

A. Karena sudah berkuasa, mereka sekarang jadi sombong
B. Karena sudah berkuasa, mereka sekarang jadi sewenang-wenang

Jawaban: B

Perhatikan percakapan berikut!

Orang 1: Apakah menurutmu kamu selalu bisa memahami seseorang hanya dengan melihatnya? Orang 2: Dalam laut bisa diduga, dalam hati siapa tahu

Apakah arti dari Dalam laut bisa diduga, dalam hati siapa tahu?

A. Orang 2 berpikir tidak.
B. Orang 2 berpikir ya.

Jawaban: A

Perhatikan percakapan berikut!

Orang 1: Sudahkah kamu makan siang? Orang 2: Sudah, tapi aku masih lapar. Ayo beli makanan lagi. Orang 1: Kamu sangat rakus dan tamak, diberi sehasta hendak sedepa.

Apakah arti dari Diberi sehasta hendak sedepa?

A. Orang 2 seharusnya tidak serakah.
B. Orang 2 harus serakah.

Jawaban: A

Perhatikan percakapan berikut!

Orang 1: Apa pendapatmu tentang orang yang suka berbicara banyak? Orang 2: Tong kosong nyaring bunyinya.

Apakah arti dari Tong kosong nyaring bunyinya?

A. Orang 2 percaya bahwa orang yang banyak bicara kemungkinan besar pintar.
B. Orang 2 percaya bahwa orang yang banyak bicara mungkin tidak pintar.

Jawaban: ",1,2,B,[0.00919 0.99   ]
"Perhatikan percakapan berikut!

Orang 1: Kenapa sih dia semakin sombong setelah jadi bos?  Orang 2: Karena sudah besar maka hendak melanda.

Apakah arti dari Sudah besar maka hendak melanda?

A. Karena sudah berkuasa, mereka sekarang jadi sombong
B. Karena sudah berkuasa, mereka sekarang jadi sewenang-wenang

Jawaban: B

Perhatikan percakapan berikut!

Orang 1: Apakah menurutmu kamu selalu bisa memahami seseorang hanya dengan melihatnya? Orang 2: Dalam laut bisa diduga, dalam hati siapa tahu

Apakah arti dari Dalam laut bisa diduga, dalam hati siapa tahu?

A. Orang 2 berpikir tidak.
B. Orang 2 berpikir ya.

Jawaban: A

Perhatikan percakapan berikut!

Orang 1: Sudahkah kamu makan siang? Orang 2: Sudah, tapi aku masih lapar. Ayo beli makanan lagi. Orang 1: Kamu sangat rakus dan tamak, diberi sehasta hendak sedepa.

Apakah arti dari Diberi sehasta hendak sedepa?

A. Orang 2 seharusnya tidak serakah.
B. Orang 2 harus serakah.

Jawaban: A

Perhatikan percakapan berikut!

Orang 1: Kenapa kamu terlihat begitu lelah? Apa kamu sudah menyelesaikan semua pekerjaanmu?  Orang 2: Belum, masih banyak yang harus diselesaikan. Tapi, saya telah belajar bahwa hujan tidak turun sekali, lingkaran tidak menggantung sekali.

Apakah arti dari Hujan tak sekali jatuh, simpai tak sekali erat?

A. Orang 2 percaya bahwa pekerjaan harus dilakukan secara bertahap.
B. Orang 2 percaya bahwa pekerjaan harus dilakukan dengan cepat dan sekaligus.

Jawaban: ",0,2,A,[0.9526  0.04724]
"Perhatikan percakapan berikut!

Orang 1: Kenapa sih dia semakin sombong setelah jadi bos?  Orang 2: Karena sudah besar maka hendak melanda.

Apakah arti dari Sudah besar maka hendak melanda?

A. Karena sudah berkuasa, mereka sekarang jadi sombong
B. Karena sudah berkuasa, mereka sekarang jadi sewenang-wenang

Jawaban: B

Perhatikan percakapan berikut!

Orang 1: Apakah menurutmu kamu selalu bisa memahami seseorang hanya dengan melihatnya? Orang 2: Dalam laut bisa diduga, dalam hati siapa tahu

Apakah arti dari Dalam laut bisa diduga, dalam hati siapa tahu?

A. Orang 2 berpikir tidak.
B. Orang 2 berpikir ya.

Jawaban: A

Perhatikan percakapan berikut!

Orang 1: Sudahkah kamu makan siang? Orang 2: Sudah, tapi aku masih lapar. Ayo beli makanan lagi. Orang 1: Kamu sangat rakus dan tamak, diberi sehasta hendak sedepa.

Apakah arti dari Diberi sehasta hendak sedepa?

A. Orang 2 seharusnya tidak serakah.
B. Orang 2 harus serakah.

Jawaban: A

Perhatikan percakapan berikut!

Orang 1: Sudah mencoba mencari solusi untuk masalah ini? Orang 2: Sudah, tapi sepertinya tidak ada jalan keluarnya.  Orang 1: Mungkin kita harus mencari bantuan dari orang lain? Orang 2: Tapi siapa yang bisa membantu? Tidak terindang dedak basah.

Apakah arti dari Tidak terindang dedak basah?

A. Orang 2 percaya bahwa masalah mungkin dapat diselesaikan dengan bantuan.
B. Orang 2 percaya bahwa masalahnya terlalu sulit dan tidak dapat ditolong.

Jawaban: ",1,2,B,[0.03119 0.9688 ]
